match_id,player_name,team,position,net_worth,kills,deaths,assists
cb825b77f9595a929d18c82ebdf849bb,fishscale,radiant,1,21556,22,1,9
cb825b77f9595a929d18c82ebdf849bb,starlight,radiant,2,13438,7,4,16
cb825b77f9595a929d18c82ebdf849bb,dextron,radiant,3,12501,2,2,26
cb825b77f9595a929d18c82ebdf849bb,imba,dire,1,14556,6,4,7
cb825b77f9595a929d18c82ebdf849bb,aizlkel,dire,5,4506,1,12,9
cb825b77f9595a929d18c82ebdf849bb,katokan,dire,2,10239,6,6,3
cb825b77f9595a929d18c82ebdf849bb,palec,dire,4,6152,0,10,10
cb825b77f9595a929d18c82ebdf849bb,rubius,dire,3,8429,1,10,4
4cde24c3707d56a684fdc1d5565889bb,pizza,radiant,5,12468,5,11,27
4cde24c3707d56a684fdc1d5565889bb,yak,radiant,3,33103,13,11,31
4cde24c3707d56a684fdc1d5565889bb,palec,radiant,4,21538,9,6,31
4cde24c3707d56a684fdc1d5565889bb,fishscale,radiant,1,40862,19,7,17
4cde24c3707d56a684fdc1d5565889bb,mikitos,radiant,2,31643,12,5,16
4cde24c3707d56a684fdc1d5565889bb,starlight,dire,3,21804,10,11,14
4cde24c3707d56a684fdc1d5565889bb,solence,dire,1,26909,9,6,11
4cde24c3707d56a684fdc1d5565889bb,dextron,dire,2,15626,4,15,11
4cde24c3707d56a684fdc1d5565889bb,aizlkel,dire,5,18661,5,12,18
4cde24c3707d56a684fdc1d5565889bb,unseash,dire,4,22015,10,14,13
6fe425378cff5c33a5499f13d6368a68,pizza,radiant,5,10098,6,6,23
6fe425378cff5c33a5499f13d6368a68,palec,radiant,4,8495,1,5,13
6fe425378cff5c33a5499f13d6368a68,ginecolog,radiant,3,15151,5,1,18
6fe425378cff5c33a5499f13d6368a68,sobolew,radiant,1,20744,8,2,22
6fe425378cff5c33a5499f13d6368a68,starlight,radiant,2,24071,18,0,11
6fe425378cff5c33a5499f13d6368a68,toyota,dire,1,13089,5,5,5
6fe425378cff5c33a5499f13d6368a68,dextron,dire,5,7602,2,8,4
6fe425378cff5c33a5499f13d6368a68,kebab,dire,4,4725,2,9,3
6fe425378cff5c33a5499f13d6368a68,svetlana,dire,3,12414,1,8,8
6fe425378cff5c33a5499f13d6368a68,poopy,dire,2,11219,2,8,3
8175cff34c1352bb83e604dc7ac8f3de,starlight,radiant,2,24292,13,8,15
8175cff34c1352bb83e604dc7ac8f3de,toyota,radiant,1,21274,7,9,13
8175cff34c1352bb83e604dc7ac8f3de,pizza,radiant,4,13438,1,9,17
8175cff34c1352bb83e604dc7ac8f3de,koba,radiant,3,23700,14,10,8
8175cff34c1352bb83e604dc7ac8f3de,dextron,radiant,5,12494,4,11,9
8175cff34c1352bb83e604dc7ac8f3de,fishscale,dire,1,41019,18,9,17
8175cff34c1352bb83e604dc7ac8f3de,imba,dire,3,26787,6,6,24
8175cff34c1352bb83e604dc7ac8f3de,palec,dire,4,12884,5,12,10
8175cff34c1352bb83e604dc7ac8f3de,poopy,dire,2,34281,6,4,27
8175cff34c1352bb83e604dc7ac8f3de,kebab,dire,5,20652,12,9,2
7ab3335eecd65891ae9023d7945f5cf2,poopy,radiant,4,14433,2,7,23
7ab3335eecd65891ae9023d7945f5cf2,fishscale,radiant,1,26465,7,1,17
7ab3335eecd65891ae9023d7945f5cf2,shu_bert,radiant,2,27202,16,4,16
7ab3335eecd65891ae9023d7945f5cf2,starlight,radiant,3,20951,12,7,19
7ab3335eecd65891ae9023d7945f5cf2,rupich,radiant,5,12959,4,8,25
7ab3335eecd65891ae9023d7945f5cf2,yak,dire,2,19076,10,7,9
7ab3335eecd65891ae9023d7945f5cf2,pizza,dire,5,7931,3,12,8
7ab3335eecd65891ae9023d7945f5cf2,imba,dire,1,24430,5,7,8
7ab3335eecd65891ae9023d7945f5cf2,toyota,dire,3,17693,5,5,13
7ab3335eecd65891ae9023d7945f5cf2,kebab,dire,4,11514,4,11,14
9f36f42af1df5be28e9801a8c74fe378,palec,radiant,5,8188,2,5,7
9f36f42af1df5be28e9801a8c74fe378,fishscale,radiant,1,17657,8,5,3
9f36f42af1df5be28e9801a8c74fe378,koba,radiant,2,12117,4,8,8
9f36f42af1df5be28e9801a8c74fe378,kebab,radiant,4,6924,3,12,5
9f36f42af1df5be28e9801a8c74fe378,dextron,radiant,3,7127,0,10,9
9f36f42af1df5be28e9801a8c74fe378,aizlkel,dire,4,13240,8,6,25
9f36f42af1df5be28e9801a8c74fe378,imba,dire,1,25267,5,2,14
9f36f42af1df5be28e9801a8c74fe378,pizza,dire,5,9188,0,5,17
9f36f42af1df5be28e9801a8c74fe378,toyota,dire,3,23471,19,4,11
9f36f42af1df5be28e9801a8c74fe378,poopy,dire,2,18844,8,2,20
bbbd637c04915a07bb53bca84d18f6bf,pizza,radiant,5,16504,8,9,23
bbbd637c04915a07bb53bca84d18f6bf,starlight,radiant,3,27977,10,15,28
bbbd637c04915a07bb53bca84d18f6bf,kebab,radiant,4,19851,5,12,23
bbbd637c04915a07bb53bca84d18f6bf,shu_bert,radiant,2,36655,17,5,25
bbbd637c04915a07bb53bca84d18f6bf,toyota,radiant,1,29148,11,8,13
